"ProbeID","SampleVar","LogVarRatio","DiffLevene","t","P.Value","Adj.P.Value","Bonferroni","chr","pos","strand","Type","UCSC_RefGene_Name","DMR","Enhancer","DHS","DMR_Overlap","DMB_Overlap"
"cg16211055",0.0682236721351521,0.0543410543635529,0.00990624036000074,12.3676396513865,1.9944915525274e-21,6.76865611952342e-17,8.12236739851258e-16,"chr1",228594250,"-","II","TRIM11","",NA,NA,"",""
"cg25608626",0.0462386438583246,0.0611315863431575,0.00655277601334171,12.1999963232836,4.41874197415041e-21,1.38422530791922e-16,1.79948848155301e-15,"chr11",117362843,"+","II","DSCAML1","",TRUE,NA,"",""
"cg05308829",0.185502736202756,0.0595772819464943,0.0318478325439044,11.9827852581136,1.24334438748537e-20,3.61672008359951e-16,5.06339568359544e-15,"chr7",2855625,"+","II","GNA12","",NA,NA,"",""
"cg06530725",0.185880864013688,0.0627494190332906,0.0283763875160297,11.5603076903654,9.40944970217831e-20,2.5546091374432e-15,3.83190429671509e-14,"chr1",54375643,"-","II","DIO1","",TRUE,NA,"",""
"cg20159193",0.0957217589148354,0.051307726970662,0.010524010802368,10.7627717027855,4.45281442370942e-18,1.13335537420365e-13,1.81336414591142e-12,"chr6",34352082,"-","II","NUDT3","",TRUE,NA,"",""
"cg03246570",0.0512186617944792,0.0430296528717812,0.00673029478132295,10.3506533938791,3.31531409787962e-17,7.94195193255644e-13,1.3501285132205e-11,"chr16",723047,"+","II","RHOT2","",NA,NA,"",""
"cg21394778",0.072937810685434,0.0457835955686188,0.00707028577878488,10.2398091653023,5.69600456209574e-17,1.28869255215135e-12,2.31964089786787e-11,"chr1",3037102,"+","II","PRDM16","",NA,NA,"",""
"cg20780546",0.0536276733223406,0.0471168571702656,0.00800123483098574,10.1738662679282,7.86124996785209e-17,1.6849596306095e-12,3.20141543690808e-11,"chr17",39507134,"-","II","KRT33A","",NA,NA,"",""
"cg21161253",0.170505947603302,0.0528007469882095,0.0276345781242041,10.1392054548076,9.31239241643846e-17,1.89619400003141e-12,3.7923786876704e-11,"chr20",61638149,"-","I","BHLHE23","",NA,NA,"",""
"cg17531776",0.201605917714681,0.0661970111775184,0.0400943164360645,9.81049961932419,4.64981380442845e-16,9.01711820728213e-12,1.89359017371544e-10,"chr2",219918336,"-","II","","",NA,NA,"",""
"cg12648759",0.143653082667481,0.0493800525340057,0.0204645873003621,9.64746433593977,1.03309087574749e-15,1.91234982422856e-11,4.20715928239408e-10,"chr1",161812851,"+","II","ATF6","",TRUE,NA,"",""
"cg11640569",0.0462546790280938,0.0429926077073518,0.00611774464449571,9.61382590230651,1.21810989687149e-15,2.15680127179062e-11,4.96063074401946e-10,"chr22",24228693,"+","II","","",NA,NA,"",""
"cg00347518",0.0230082567516277,0.0422009611995535,0.00265578077338957,9.57262421176789,1.49047661899332e-15,2.52909661998109e-11,6.06981698318841e-10,"chr20",23337006,"-","II","","",NA,NA,"",""
"cg05311119",0.0134532941386632,0.0541075139048684,0.0021528921565211,9.52489039380286,1.88304901721684e-15,3.06741905928161e-11,7.66852881771384e-10,"chr4",1805090,"+","I","FGFR3","",NA,NA,"",""
"cg05258139",0.129037067037166,0.0625743077256304,0.0239448916218339,9.51200914730066,2.0056824457103e-15,3.1415235572058e-11,8.16794119191062e-10,"chr11",64889535,"+","I","FAU","",NA,NA,"",""
"cg05258139",0.129037067037166,0.0625743077256304,0.0239448916218339,9.51200914730066,2.0056824457103e-15,3.1415235572058e-11,8.16794119191062e-10,"chr11",64889535,"+","I","MRPL49","",NA,NA,"",""
"cg14536467",0.0485226457296544,0.0491239349154506,0.00701945904465748,9.49852537862965,2.14261650760322e-15,3.23170847841793e-11,8.72559146556334e-10,"chr19",17412305,"+","I","ABHD8","",NA,NA,"",""
"cg24257776",0.0469527759748587,0.0446241746893492,0.00531976838421027,9.34325526981908,4.58370591872205e-15,6.66668922159388e-11,1.86666839834037e-09,"chr3",47051546,"+","I","LOC100129354","",TRUE,TRUE,"",""
"cg02747051",0.114160450818053,0.0431641457531773,0.0153575113798982,9.25706834130462,6.99056005083118e-15,9.81669884710531e-11,2.84683567510049e-09,"chr7",98550345,"+","II","TRRAP","",NA,NA,"",""
"cg03992168",0.0406632372167151,0.0421077033665693,0.00409716166207672,9.22870913049747,8.03185027289723e-15,1.08064422867271e-10,3.27089070513467e-09,"chr5",574244,"-","II","","",NA,NA,"",""
"cg18175611",0.122835198977826,0.0387843765815405,0.0142071124772871,9.223828710083,8.22608015618612e-15,1.08064422867271e-10,3.34998888280523e-09,"chr14",58858888,"+","II","","",NA,NA,"",""
"cg06713830",0.169622157934656,0.0442262874286874,0.0172381923097682,9.01742416070458,2.2589047423799e-14,2.87474570684855e-10,9.19916367286792e-09,"chr19",10220342,"+","II","SNORD105B","",NA,NA,"",""
"cg06713830",0.169622157934656,0.0442262874286874,0.0172381923097682,9.01742416070458,2.2589047423799e-14,2.87474570684855e-10,9.19916367286792e-09,"chr19",10220342,"+","II","PPAN","",NA,NA,"",""
"cg06713830",0.169622157934656,0.0442262874286874,0.0172381923097682,9.01742416070458,2.2589047423799e-14,2.87474570684855e-10,9.19916367286792e-09,"chr19",10220342,"+","II","PPAN-P2RY11","",NA,NA,"",""
"cg16500097",0.0578197638698806,0.0423537718176458,0.00737350150733101,8.96990774446028,2.84990275180067e-14,3.51696135316987e-10,1.16059439664331e-08,"chr3",100083492,"-","II","TOMM70A","",NA,NA,"",""
"cg05755837",0.113187327468135,0.0549329062129201,0.0208310885387962,8.81229174474115,6.15751871685278e-14,7.32357054103432e-10,2.50758792225113e-08,"chr7",102937659,"-","II","PMPCB","",NA,NA,"",""
"cg27006252",0.138139430991161,0.0466068284705625,0.0182946337286725,8.80779779466065,6.29418376185603e-14,7.32357054103432e-10,2.56324339517825e-08,"chr14",23391205,"+","II","PRMT5","",NA,NA,"",""
"cg17057783",0.106457978774659,0.0464851150049691,0.0125967298801706,8.68755647887654,1.13210613919119e-13,1.28066676730656e-09,4.61038904124222e-08,"chr11",57283183,"-","I","SLC43A1","",NA,TRUE,"",""
"cg22232206",0.0565335505926544,0.0408847799318589,0.00676502385879817,8.5400933924565,2.32348246590869e-13,2.52956364742545e-09,9.46214999416656e-08,"chr6",43138185,"-","II","SRF","",NA,NA,"",""
"cg18380742",0.194560875782375,0.0471700651838992,0.0250138253248716,8.52106075684956,2.54919634640099e-13,2.66189043411458e-09,1.03813472010834e-07,"chr1",61674366,"+","II","NFIA","",TRUE,NA,"",""
"cg18224153",0.325830647245645,0.042608937783489,0.0394958631848451,8.49619019901913,2.87742103923246e-13,2.92950955359516e-09,1.17180094401703e-07,"chr11",67276176,"+","I","CDK2AP2","",NA,NA,"",""
"cg13459303",0.111738126747031,0.0409334702042902,0.00832919639772842,8.47896305347255,3.12916561249908e-13,3.10810861756034e-09,1.27432140403413e-07,"chr7",150499276,"-","II","TMEM176A","CDMR",NA,NA,"",""
"cg13459303",0.111738126747031,0.0409334702042902,0.00832919639772842,8.47896305347255,3.12916561249908e-13,3.10810861756034e-09,1.27432140403413e-07,"chr7",150499276,"-","II","TMEM176B","CDMR",NA,NA,"",""
"cg14517056",0.105762722307097,0.0413058971795579,0.0126598251685884,8.44925932730504,3.61589168786847e-13,3.50604606395058e-09,1.47253573096756e-07,"chr7",5428633,"+","II","TNRC18","",NA,NA,"",""
"cg23201206",0.080909440490367,0.0657049580567873,0.0156761347688861,8.32936778763428,6.4771142268149e-13,6.13429412754029e-09,2.6377399977281e-07,"chr6",30885800,"+","II","VARS2","",NA,NA,"",""
"cg06035049",0.0313952048730891,0.0345094991577411,0.00297114348995844,8.31573094370125,6.92069708865187e-13,6.40543546154472e-09,2.81838468238259e-07,"chr4",1512269,"+","II","","",NA,NA,"",""
"cg01032630",0.0456846597207785,0.0384182261308205,0.00511349943075202,8.30555507450575,7.27131559363375e-13,6.58039518592667e-09,2.96117056235141e-07,"chr6",125622751,"+","II","HDDC2","",NA,TRUE,"",""
"cg05425023",0.112553539082725,0.0457526654706266,0.0146180131295812,8.23637756766392,1.01726355108217e-12,8.89170448185242e-09,4.14270408542701e-07,"chr8",144893293,"-","I","SCRIB","",NA,NA,"",""
"cg22192762",0.190076408610619,0.0455048493699536,0.025547564902873,8.23457481428518,1.02619851794653e-12,8.89170448185242e-09,4.17909084448546e-07,"chr12",94542778,"+","I","PLXNC1","",NA,NA,"",""
"cg09024962",0.068422544750711,0.0360792450189233,0.00646604217717205,8.22390277830873,1.08071726243851e-12,9.16900788901499e-09,4.40111297955457e-07,"chr5",132707300,"+","II","FSTL4","",TRUE,NA,"",""
"cg13509765",0.167658893458869,0.0940480447048121,0.051207958502646,8.25429419166199,1.13542190060399e-12,9.43653775967082e-09,4.6238921480197e-07,"chr9",133734608,"-","II","ABL1","",TRUE,NA,"",""
"cg22873892",0.164417174595481,0.0428161970094097,0.0212077552589744,8.1813439106183,1.32838127420787e-12,1.08194263697937e-08,5.40969990108412e-07,"chr15",49447651,"+","I","GALK2","",NA,TRUE,"",""
"cg22873892",0.164417174595481,0.0428161970094097,0.0212077552589744,8.1813439106183,1.32838127420787e-12,1.08194263697937e-08,5.40969990108412e-07,"chr15",49447651,"+","I","COPS2","",NA,TRUE,"",""
"cg02340915",0.134476978175922,0.0447918183305178,0.0160452080972837,8.16732598533673,1.42175322893429e-12,1.13528667981261e-08,5.789947849512e-07,"chr12",121904480,"+","I","KDM2B","",NA,NA,"",""
"cg03014882",0.054157259883729,0.0463283298177024,0.00766634920992574,8.16290771336863,1.45251700326771e-12,1.13754707101489e-08,5.91523024410741e-07,"chr19",18120728,"-","I","ARRDC2","",NA,NA,"",""
"cg18114708",0.214477475303341,0.100872635189561,0.0672051065524437,8.15488443781235,1.94430627746829e-12,1.49396459008012e-08,7.91799288436186e-07,"chr11",66460719,"+","I","SPTBN2","",NA,NA,"",""
"cg09559324",0.0214376106146066,0.0583826308259819,0.00353629237824355,8.08831195109728,2.08437607554917e-12,1.5719322173754e-08,8.48841313006642e-07,"chr16",31475905,"+","I","ARMC5","",NA,NA,"",""
"cg19697795",0.0729412180997518,0.0389169353491116,0.00743953701273582,8.05205285878078,2.48393991320054e-12,1.80932186778422e-08,1.01155969025179e-06,"chr8",1307689,"-","II","","",NA,NA,"",""
"cg13973472",0.0590701937182455,0.0414533785079861,0.00678261277377395,8.05037413453699,2.50418319731357e-12,1.80932186778422e-08,1.01980356527398e-06,"chr14",55032305,"+","I","","",NA,NA,"",""
"cg02578557",0.186712352230634,0.0528046458360567,0.022420211991468,8.04805331927723,2.53244016353218e-12,1.80932186778422e-08,1.03131093219684e-06,"chr2",198175821,"+","I","","",NA,NA,"",""
"cg05348768",0.232429278861174,0.0470216461960013,0.0296941288283403,8.03685097491825,2.67336373576729e-12,1.87707469158208e-08,1.08870064775387e-06,"chr1",202936122,"-","I","CYB5R1","",NA,NA,"",""
"cg08157318",0.0269060143921708,0.0363544192774694,0.00279654958771735,7.94465317071517,4.17276124924008e-12,2.83219910650296e-08,1.69931529114053e-06,"chr12",102224140,"-","I","GNPTAB","",NA,NA,"",""
"cg08894891",0.0310404902245432,0.0928591724208781,0.00933628481090795,8.01918839564951,4.39521034127085e-12,2.93427845014669e-08,1.78990545937914e-06,"chr19",19040364,"+","I","HOMER3","",NA,NA,"",""
"cg14714922",0.0395782070452804,0.0427025281563905,0.00487563991244763,7.92529367450384,4.58119919709831e-12,3.00911635842825e-08,1.86564756102632e-06,"chr2",235524731,"-","II","","",TRUE,NA,"",""
"cg20563498",0.0470274408705751,0.0385702647952591,0.00557539485152116,7.90450703471191,5.06414070112322e-12,3.27353289407321e-08,2.06232065912542e-06,"chr11",77910743,"-","II","USP35","",NA,NA,"",""
"cg05372495",0.0307590284147585,0.0522095936673711,0.00513147708311753,7.90631506544362,5.37742063503719e-12,3.40815281523417e-08,2.18990077941255e-06,"chr19",1063624,"-","I","ABCA7","",NA,NA,"",""
"cg07651857",0.0376721655896564,0.0349438316869632,0.00365588488872935,7.88966097144916,5.43977480141295e-12,3.40815281523417e-08,2.21529389012741e-06,"chr4",2471025,"-","II","RNF4","",NA,NA,"",""
"cg06633013",0.0896855411832156,0.0425182612913006,0.0123742396746313,7.83814942735571,6.97145052468121e-12,4.18960509015088e-08,2.83905351167118e-06,"chr19",14170956,"+","I","PALM3","",NA,NA,"",""
"cg21938845",0.297127672722208,0.0733565287929935,0.0648211306355882,7.84478610040704,6.99568918969996e-12,4.18960509015088e-08,2.84892446561341e-06,"chr7",75915065,"+","I","SRRM3","",NA,NA,"",""
"cg23202053",0.0152824848716435,0.0561553059364722,0.00272444630810159,7.77941040872366,9.24755444763152e-12,5.45408030066216e-08,3.76597407325346e-06,"chr19",1815917,"+","I","REXO1","",NA,NA,"",""
"cg25114611",0.0462219847327473,0.0407456541462174,0.00393098933026003,7.77656426016776,9.37493084061652e-12,5.45408030066216e-08,3.81784683553267e-06,"chr6",35696870,"-","II","FKBP5","",NA,NA,"",""
"cg25114611",0.0462219847327473,0.0407456541462174,0.00393098933026003,7.77656426016776,9.37493084061652e-12,5.45408030066216e-08,3.81784683553267e-06,"chr6",35696870,"-","II","LOC285847","",NA,NA,"",""
"cg19536404",0.228488595394339,0.0408356189318002,0.0276171147589338,7.76784001394754,9.77635384259542e-12,5.60751002142592e-08,3.98132233885856e-06,"chr3",184971825,"+","I","EHHADH","",TRUE,NA,"Yes",""
"cg03902160",0.0628082326110131,0.0395396997671291,0.00725542018905955,7.73544265421078,1.14225047946921e-11,6.46071149318776e-08,4.65170085259039e-06,"chr1",29586660,"-","I","PTPRU","",NA,TRUE,"",""
"cg14598877",0.0775828504296518,0.0579323864485428,0.014165721863789,7.69445962124252,1.39052434019805e-11,7.74968493606257e-08,5.66277132302255e-06,"chr21",46687659,"+","II","POFUT2","",NA,NA,"",""
"cg23229604",0.0566068793765522,0.0403248481220142,0.00688392144672779,7.69182615223682,1.40819977671362e-11,7.74968493606257e-08,5.73475277068854e-06,"chr1",110081799,"-","II","GPR61","",TRUE,NA,"",""
"cg04081844",0.0706037253531714,0.0436637640974692,0.00938402080195031,7.68751521236313,1.43761773900465e-11,7.80609180866656e-08,5.85455448032253e-06,"chr13",113613272,"-","I","","",NA,NA,"",""
"cg00779328",0.0678611658079751,0.0580603654760179,0.0120043783141081,7.67904010672693,1.49724584634089e-11,8.02289336460144e-08,6.09738398463863e-06,"chr1",33745989,"-","I","ZNF362","",NA,NA,"",""
"cg20669561",0.0414190601627832,0.0473479077278295,0.00561447643212303,7.63706760208706,1.83081702717186e-11,9.68290593457785e-08,7.45581926145467e-06,"chr16",58030357,"-","II","ZNF319","",NA,NA,"",""
"cg01835576",0.0329817453519904,0.0409714556061366,0.00400902775770023,7.62983775169004,1.89531637769915e-11,9.89551970475103e-08,7.71848641654203e-06,"chr16",66835530,"+","I","CCDC79","",NA,NA,"",""
"cg20981412",0.0597051150164843,0.0425494264922263,0.00750875161881004,7.5829873736406,2.37165187406624e-11,1.22257453271723e-07,9.65831509194736e-06,"chr6",32126468,"+","II","PPT2","",NA,NA,"",""
"cg11684142",0.0709349750412425,0.0466701815770804,0.00822404910440056,7.55542245453455,2.70570598593556e-11,1.37734301427298e-07,1.1018717057124e-05,"chr20",62572234,"-","I","UCKL1","",NA,NA,"",""
"cg21944740",0.101824620979966,0.0395725015131233,0.0104743438554375,7.50569061248586,3.43099402250196e-11,1.72498942804657e-07,1.3972380057237e-05,"chr5",4644304,"+","I","","",NA,NA,"",""
"cg09768859",0.109008818591752,0.054142187585345,0.0160693580787219,7.48578664233005,3.7727452605607e-11,1.87367872275122e-07,1.53641277991074e-05,"chr10",134572388,"+","I","INPP5A","",NA,NA,"",""
"cg25119946",0.14194112735196,0.0642310724229696,0.0260917114268607,7.47604466051431,3.97409898141601e-11,1.94989884733836e-07,1.61841206919185e-05,"chr17",39558556,"-","II","","",NA,NA,"",""
"cg05372730",0.152719130435037,0.0465565412526231,0.0191820336396464,7.47179492169293,4.03302952464558e-11,1.9552559245788e-07,1.64241094361667e-05,"chr10",118928025,"+","I","","DMR",NA,NA,"",""
"cg20763184",0.0594895436573152,0.043068733335706,0.00784314066481475,7.43632888026981,4.77551111205201e-11,2.28798108327432e-07,1.94477914527206e-05,"chr6",33291578,"-","II","DAXX","",NA,NA,"",""
"cg24899451",0.0946647464837661,0.0388607823064935,0.0101228522309338,7.42361470941687,5.07352239965143e-11,2.40249573901913e-07,2.06614126203405e-05,"chr6",31852522,"-","II","EHMT2","",NA,NA,"",""
"cg24704077",0.0818177716706046,0.0427104725758487,0.00959051977576244,7.41474263568146,5.29235215587658e-11,2.47731354518544e-07,2.15525749195918e-05,"chr6",159456907,"-","II","TAGAP","",NA,NA,"",""
"cg07796597",0.0421207849396321,0.0420551739382525,0.00489959133554511,7.38022563058909,6.23662411052562e-11,2.88614663567564e-07,2.53980280277045e-05,"chr10",11379739,"-","I","","",TRUE,NA,"",""
"cg12718671",0.0874185826837428,0.0707685982866958,0.0208664538268831,7.38713643208522,6.3471100869403e-11,2.90427354934343e-07,2.58479711180557e-05,"chr4",122744383,"+","II","CCNA2","",NA,NA,"","Yes"
"cg02002207",0.0640831652898611,0.0452496407849536,0.00903374726432342,7.37032468383205,6.53713447392384e-11,2.9579879781058e-07,2.66218264316074e-05,"chr16",89913618,"-","II","SPIRE2","",NA,NA,"",""
"cg27254620",0.249677837800136,0.0398936963882203,0.0272541024762055,7.36454882296842,6.71903908559787e-11,3.006888127756e-07,2.73626147721887e-05,"chr6",27265855,"+","I","","",NA,NA,"",""
"cg23641315",0.0123536508985985,0.0377947834035997,0.00128615469272003,7.33739920087022,7.64375548748036e-11,3.38353329182281e-07,3.1128429847215e-05,"chr6",31828373,"+","I","NEU1","",NA,NA,"",""
"cg11162839",0.129939390680096,0.0479516091333755,0.0161449787180786,7.30781257625722,8.79583053101726e-11,3.83698945300991e-07,3.58201402545147e-05,"chr3",135688971,"+","II","PPP2R3A","",NA,NA,"",""
"cg04074153",0.225522210002907,0.0381268608840572,0.0221587660224772,7.30636084060025,8.8565986377337e-11,3.83698945300991e-07,3.60676122923067e-05,"chr12",29568207,"+","II","","",TRUE,NA,"",""
"cg03297092",0.0331110407771823,0.0487895997305016,0.00408930704025687,7.28621662464591,9.74412212494948e-11,4.13354795654849e-07,3.96819629416443e-05,"chr17",77403634,"+","II","HRNBP3","RDMR",NA,NA,"",""
"cg13520770",0.0474075543226569,0.0401846082328392,0.0055592668333059,7.28173000943382,9.9535177607877e-11,4.17884590352674e-07,4.05347057290318e-05,"chr11",3117181,"+","II","OSBPL5","",NA,TRUE,"",""
"cg15371732",0.0607540104066461,0.0436608052369443,0.00700023579890355,7.27499186730587,1.02764168258408e-10,4.27038598425738e-07,4.18496798815541e-05,"chr17",78194151,"+","I","SLC26A11","",NA,NA,"",""
"cg15371732",0.0607540104066461,0.0436608052369443,0.00700023579890355,7.27499186730587,1.02764168258408e-10,4.27038598425738e-07,4.18496798815541e-05,"chr17",78194151,"+","I","SGSH","",NA,NA,"",""
"cg09268874",0.14241577628962,0.0405180922408537,0.0164522715875123,7.27145935328027,1.04498324802128e-10,4.29858608997409e-07,4.25558977924187e-05,"chr1",85140335,"-","II","SSX2IP","",TRUE,NA,"",""
"cg02477365",0.0738823138543401,0.0488401173547456,0.0108133151625937,7.24549392358645,1.18168722338026e-10,4.812314865366e-07,4.81230304849376e-05,"chr3",77636408,"+","II","ROBO2","",NA,NA,"",""
"cg14208721",0.0872487238146182,0.0357505073371896,0.00868435494997918,7.21786452837749,1.34668209753754e-10,5.42994221864637e-07,5.48422817401186e-05,"chr9",111696763,"-","I","IKBKAP","",NA,NA,"",""
"cg14208721",0.0872487238146182,0.0357505073371896,0.00868435494997918,7.21786452837749,1.34668209753754e-10,5.42994221864637e-07,5.48422817401186e-05,"chr9",111696763,"-","I","C9orf6","",NA,NA,"",""
"cg26385494",0.111922687384486,0.0392474318488357,0.012781801932861,7.19633685671448,1.49091941220931e-10,5.95258345438755e-07,6.07162021428118e-05,"chr3",123303464,"+","I","PTPLB","",NA,NA,"",""
"cg09887634",0.0550500290847693,0.0501063267717399,0.00785820445193473,7.16620278646417,1.73085161911739e-10,6.84343440991247e-07,7.04872013369365e-05,"chr1",233122135,"-","I","PCNXL2","",NA,NA,"",""
"cg02079645",0.155547729928707,0.046630392624767,0.0205189720020977,7.10098692548638,2.33757247211699e-10,9.15341683766726e-07,9.51953013544923e-05,"chr2",167744466,"-","II","","",NA,NA,"",""
"cg24995008",0.0460047577696714,0.0379438641872127,0.0046909358659023,7.09624943128606,2.39029393073728e-10,9.2707208633084e-07,9.73423300353451e-05,"chr13",33703779,"+","I","STARD13","",NA,NA,"",""
"cg02596683",0.230816890214665,0.0709097515917125,0.0512428504288108,7.10291759648947,2.47766785040512e-10,9.51894276478143e-07,0.000100900545539898,"chr5",53385120,"-","II","ARL15","",TRUE,NA,"",""
"cg17740632",0.132686216572332,0.0335511795053546,0.0120833879059203,7.07129850591967,2.6880486003376e-10,1.02306878509354e-06,0.000109468091200149,"chr19",58892104,"-","I","ZNF837","",NA,NA,"",""
"cg24407065",0.0719587309726094,0.0392087578990762,0.00688226548132507,7.06100481639856,2.8213541276598e-10,1.06386210768732e-06,0.000114896825494818,"chr1",169335802,"+","II","NME7","",NA,NA,"",""
"cg24407065",0.0719587309726094,0.0392087578990762,0.00688226548132507,7.06100481639856,2.8213541276598e-10,1.06386210768732e-06,0.000114896825494818,"chr1",169335802,"+","II","BLZF1","",NA,NA,"",""
"cg16635196",0.131987094062626,0.0373993108393532,0.0133635604448865,7.0474825173996,3.00648145713778e-10,1.12326836246445e-06,0.000122435950860479,"chr3",169758644,"-","II","GPR160","RDMR",NA,NA,"",""
"cg02347113",0.156232931813202,0.0656764492361062,0.0317946148147476,7.05168585059598,3.03756078355341e-10,1.12456299186825e-06,0.000123701625349429,"chr2",101752032,"+","II","TBC1D8","",TRUE,NA,"",""
"cg20308663",0.296180595903472,0.0374756683942788,0.0269676735659556,7.02981927788255,3.26655489591014e-10,1.19844602014896e-06,0.000133027181581045,"chr13",100523121,"+","I","CLYBL","",TRUE,NA,"",""
"cg26806791",0.0729795370160626,0.038916861158739,0.00839895563835108,7.02205871383828,3.38776265171441e-10,1.2318177232561e-06,0.000137963246228418,"chr20",62126253,"-","II","EEF1A2","",NA,NA,"",""
"cg07362231",0.163983499043139,0.037457894228981,0.0154782199316723,7.01407132989896,3.51717051448778e-10,1.25643512060572e-06,0.000143233252032,"chr1",120441702,"-","II","","",NA,NA,"",""
"cg08613384",0.0297109259126112,0.0357303406426423,0.00289431300729302,6.99857651701109,3.78234735389433e-10,1.33941471195416e-06,0.000154032313639993,"chr19",54968314,"+","I","LENG8","",NA,NA,"",""
"cg16256719",0.0416071935840834,0.04758919290718,0.0061247169059624,7.00338123509911,3.90451808617558e-10,1.36719360897666e-06,0.000159007594541414,"chr1",228613082,"+","I","HIST3H3","",NA,NA,"",""
"cg19539385",0.115089796937385,0.0394852190901059,0.0107377551598954,6.98990389869919,3.93932565936328e-10,1.36719360897666e-06,0.00016042509815191,"chr7",6095195,"-","II","EIF2AK1","",NA,NA,"",""
"cg10230591",0.0401454885707035,0.0338025293573212,0.00399929251407133,6.98870610428857,3.96150794883732e-10,1.36719360897666e-06,0.000161328449708451,"chr13",44818496,"+","II","","",TRUE,NA,"",""
"cg08707110",0.10987556177032,0.0395163055004609,0.0119284802657947,6.96008760544381,4.5299290286368e-10,1.55022926684965e-06,0.000184476829762205,"chr11",65620170,"-","I","SNX32","",NA,NA,"",""
"cg08877624",0.0317431749024383,0.0473950734799067,0.00453602726375399,6.96406672158395,4.60114757176715e-10,1.56147994856169e-06,0.000187377133712645,"chr8",141521446,"+","I","CHRAC1","",NA,NA,"",""
"cg19466818",0.252468192900078,0.0440415409382854,0.0310910933760629,6.9333474518162,5.13380291375057e-10,1.7278471342138e-06,0.000209068989859578,"chr17",56409534,"+","I","MIR142","",TRUE,NA,"",""
"cg24029994",0.0649668487035085,0.0384840905982521,0.00660505135393844,6.92738914090931,5.27887009759961e-10,1.76210847329226e-06,0.000214976705854647,"chr11",1471410,"+","I","BRSK2","",NA,NA,"",""
"cg17038965",0.156607581931442,0.075597764844298,0.0374852776113847,6.94410816068306,5.44418519012854e-10,1.80251660244971e-06,0.000221708997682795,"chr11",67401051,"+","II","TBX10","",NA,NA,"",""
"cg08540840",0.16625651485924,0.0348612021939015,0.015361190589345,6.91900245222734,5.48996933806311e-10,1.80301661548561e-06,0.000223573511323282,"chr6",170123135,"+","I","PHF10","",NA,TRUE,"",""
"cg10587218",0.0889885944555489,0.0333832269022799,0.00810693442005426,6.91332320469427,5.63764994581519e-10,1.83670576126698e-06,0.000229587656393378,"chr3",148709351,"+","I","GYG1","",NA,NA,"",""
"cg01334824",0.0349037618858677,0.0329477772768301,0.00329664606780817,6.90595039878299,5.83525630714874e-10,1.87975997844453e-06,0.000237634977852325,"chr15",27787650,"-","II","","",NA,NA,"",""
"cg11333007",0.101194370277029,0.0497291530082911,0.0152852303795139,6.90496729592778,5.86211892374431e-10,1.87975997844453e-06,0.000238728931050563,"chr15",52121944,"-","I","TMOD3","",NA,NA,"",""
"cg07369260",0.0159018701105489,0.0368685356593054,0.00151214086235261,6.89542520169292,6.12930153682997e-10,1.9413895363084e-06,0.000249609675785864,"chr6",42406085,"-","I","TRERF1","",TRUE,NA,"",""
