Probe_ID,SampleVar,LogVarRatio,DiffLevene,t,P.Value,Adj.P.Value,Bonferroni,chr,pos,strand,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,Phantom,DMR,Enhancer,HMM_Island,Regulatory_Feature_Name,Regulatory_Feature_Group,DHS,Probe_SNPs,Probe_SNPs_10,Islands_Name,Relation_to_Island
cg01169250,0.1323844,-1.749422926,-0.223972988,-3.982590881,9.87E-05,0.851453873,1,chr16,71323418,+,FTSJD1;FTSJD1;FTSJD1,NM_018348;NM_018348;NM_001099642,5'UTR;1stExon;TSS200,,,,16:69880595-69881010,16:71322192-71323925,Promoter_Associated,,rs3096379,,chr16:71323115-71323514,Island
cg24637349,0.053577356,0.940859483,0.140381819,3.975163251,9.97E-05,0.851453873,1,chr17,55222089,-,,,,,,TRUE,,,,,,,,OpenSea
cg03887721,0.125489192,1.346739102,0.225871023,3.984337558,9.97E-05,0.851453873,1,chr13,106756690,+,,,,,,TRUE,,,,TRUE,,,,OpenSea
cg03662475,0.07831243,1.292443429,0.170654161,3.967178953,0.000102809,0.851453873,1,chr6,168419522,+,KIF25;KIF25,NM_030615;NM_005355,5'UTR;5'UTR,,,,6:168162314-168162645,,,,,,,OpenSea
cg10983617,0.121011911,-1.307563308,-0.210586631,-3.960362255,0.000105558,0.851453873,1,chr1,978664,-,AGRN,NM_198576,Body,high-CpG:968522-968538,,,1:968527-970752,,,,,,chr1:975496-980305,Island
cg02058918,0.313323066,-1.271469631,-0.345809464,-3.961876022,0.000105779,0.851453873,1,chr9,101470884,-,GABBR2,NM_005458,1stExon,high-CpG:100510679-100510781,DMR,,9:100510403-100512007,,,,,,chr9:101469579-101472154,Island
cg10953002,0.137617338,-1.625430562,-0.229307915,-3.930488364,0.00011845,0.907429665,1,chr4,74241932,-,,,,,,TRUE,,,,,,rs72863556,,OpenSea
cg11949253,0.030666622,1.258267225,0.105882323,3.92323604,0.000121799,0.907429665,1,chr11,237000,+,PSMD13;PSMD13;SIRT3;PSMD13;PSMD13;SIRT3,NM_175932;NM_002817;NM_012239;NM_175932;NM_002817;NM_001017524,5'UTR;5'UTR;TSS1500;1stExon;1stExon;TSS1500,high-CpG:226965-227029,,,11:226743-227290,11:236359-237070,Promoter_Associated,,rs12293349,,chr11:235918-237290,Island
cg10612065,0.030651493,1.267754386,0.108345798,3.923210729,0.00012181,0.907429665,1,chr19,5135544,+,KDM4B,NM_015015,Body,,,,,,,,,,chr19:5135285-5135545,Island
cg01273802,0.023636926,-0.891261969,-0.094156325,-3.918631564,0.000123971,0.907429665,1,chr8,10871371,-,XKR6,NM_173683,Body,,,,,,,,,,chr8:10873324-10874174,N_Shore
cg01739965,0.042194383,-0.91992625,-0.126631031,-3.899793698,0.000133248,0.907429665,1,chr2,64246297,+,VPS54;VPS54,NM_001005739;NM_016516,TSS200;TSS200,,,,2:64099250-64100397,2:64245639-64247621,Promoter_Associated,TRUE,,,chr2:64245934-64246893,Island
cg16003601,0.06366138,0.930955564,0.1548741,3.898773831,0.000133768,0.907429665,1,chr19,50691441,+,,,,low-CpG:55383249-55383257,,,,,,,rs61745349,,,OpenSea
cg23457280,0.142872241,1.139853683,0.2308048,3.898501364,0.000133908,0.907429665,1,chr7,23299726,-,GPNMB;GPNMB,NM_002510;NM_001005340,Body;Body,,,,,,,,,,,OpenSea
cg24741430,0.074074745,1.194406594,0.16693475,3.891673957,0.000137447,0.907429665,1,chr15,67095711,+,,,,,,TRUE,,,,,,,,OpenSea
cg00530320,0.050608347,1.014993391,0.136176918,3.885329413,0.000140814,0.907429665,1,chr1,46809349,-,NSUN4,NM_199044,Body,,,,,,,,,,chr1:46806339-46806836,S_Shelf
cg04350627,0.145382868,-1.177601713,-0.234053083,-3.882739496,0.000142212,0.907429665,1,chr7,82993656,-,SEMA3E,NM_012431,3'UTR,,,,,,,,,,,OpenSea
cg19720917,0.031915436,-1.281557859,-0.106879353,-3.876882262,0.00014542,0.907429665,1,chr19,36606221,+,POLR2I;TBCB;TBCB,NM_006233;NM_001281;NM_001281,TSS200;1stExon;5'UTR,,,,19:41297864-41298675,19:36604702-36606971,Promoter_Associated,,,,chr19:36604359-36606906,Island
cg19461260,0.088043777,-1.088349672,-0.179988294,-3.875401678,0.000146242,0.907429665,1,chr9,100849700,-,TRIM14;TRIM14;TRIM14;TRIM14,NM_033220;NM_033219;NM_014788;NM_033221,3'UTR;3'UTR;3'UTR;Body,,,,,,,,,,chr9:100849699-100850392,Island
cg14693375,0.048302044,1.182042606,0.13292502,3.864257248,0.000152571,0.907429665,1,chr5,135526021,-,,,,,,,,,,,,,chr5:135527056-135528978,N_Shore
cg24160660,0.038293676,1.086512423,0.114600222,3.855396,0.000157788,0.907429665,1,chr22,18121281,+,BCL2L13,NM_015367,TSS1500,,,,22:16501065-16501976,22:18120836-18122023,Promoter_Associated,,,,chr22:18121280-18122009,Island
cg09142166,0.037229347,1.128794885,0.115909916,3.85346019,0.00015895,0.907429665,1,chr22,44276013,+,PNPLA5,NM_138814,3'UTR,,,,,,,,,,,OpenSea
cg19092317,0.229798757,1.381558481,0.286434593,3.845751513,0.000163658,0.907429665,1,chr5,72739768,-,,,,,RDMR,TRUE,5:72775495-72776311,5:72739651-72739842,Unclassified_Cell_type_specific,,,,chr5:72740051-72740800,N_Shore
cg23052191,0.322717433,1.268886651,0.344683523,3.841085323,0.000166572,0.907429665,1,chr8,103876402,+,AZIN1;AZIN1,NM_015878;NM_148174,TSS200;TSS200,,,,8:103944219-103946225,8:103876374-103876835,Promoter_Associated,,,,chr8:103875222-103877084,Island
cg10411590,0.332273424,0.847399665,0.336749377,3.838345981,0.000168306,0.907429665,1,chr13,21900810,+,,,,,,,13:20798765-20798871,,,TRUE,,,chr13:21900425-21900637,S_Shore
cg04493488,0.101881201,1.47113142,0.183727851,3.838301744,0.000168334,0.907429665,1,chr16,52576521,-,TOX3;TOX3,NM_001146188;NM_001080430,5'UTR;Body,,,,,,,,,,chr16:52579636-52580845,N_Shelf
cg09076299,0.101998764,0.956459138,0.188026186,3.832580611,0.00017201,0.907429665,1,chr10,9920000,+,,,,,,,10:9959862-9960024,,,,,,,OpenSea
cg06144920,0.143839988,1.306867456,0.227179924,3.832579312,0.000172011,0.907429665,1,chr16,52503197,-,TOX3;TOX3,NM_001080430;NM_001146188,Body;Body,,,,,,,,,,,OpenSea
cg12481283,0.040595271,-1.450314394,-0.118996486,-3.828825677,0.000174464,0.907429665,1,chr20,19997705,-,NAA20;NAA20;NAA20,NM_016100;NM_181528;NM_181527,TSS1500;TSS1500;TSS1500,,,,20:19945705-19946655,20:19997567-19999354,Promoter_Associated,,,,chr20:19997704-19998559,Island
cg23157360,0.142881682,1.248754724,0.219311461,3.816303239,0.000182891,0.907429665,1,chr2,75979318,+,,,,,,TRUE,,,,,,,,OpenSea
cg06201680,0.30196904,1.190165273,0.325700225,3.813756718,0.000184651,0.907429665,1,chr7,151078646,-,WDR86,NM_198285,3'UTR,,,TRUE,7:150709396-150710539,,,,,,chr7:151078462-151079536,Island
cg22542731,0.063039988,1.236387456,0.151653618,3.809883564,0.000187358,0.907429665,1,chr2,128440274,+,LIMS2,NM_001161404,TSS1500,,,,,,,,,,,OpenSea
cg14226212,0.078796265,0.907766448,0.167251378,3.809525856,0.00018761,0.907429665,1,chr9,113530240,+,MUSK;MUSK;MUSK,NM_001166281;NM_001166280;NM_005592,Body;Body;Body,,,TRUE,,,,,,,,OpenSea
cg26314281,0.185984012,1.162463175,0.259281488,3.808762317,0.000188149,0.907429665,1,chr3,184529337,-,VPS8;VPS8,NM_001009921;NM_015303,TSS1500;TSS1500,,,,,,,,,,chr3:184529812-184530255,N_Shore
cg00379836,0.047256993,1.294156169,0.129153843,3.80908074,0.00018896,0.907429665,1,chr19,50372937,-,AKT1S1;AKT1S1;AKT1S1,NM_001098632;NM_001098633;NM_032375,3'UTR;3'UTR;3'UTR,,,,19:55064415-55065192,19:50372275-50373712,Promoter_Associated,,,,chr19:50372936-50373397,Island
cg12418163,0.184155118,0.897330425,0.260212731,3.804074773,0.00019149,0.907429665,1,chr12,121341616,+,SPPL3,NM_139015,Body,,,,12:119825618-119826848,,,,,,chr12:121341414-121342436,Island
cg27483474,0.082308982,-1.078569716,-0.170084693,-3.804037414,0.000191517,0.907429665,1,chr8,143809371,+,C8orf55,NM_016647,Body,,,TRUE,8:143804805-143806493,,,,,,chr8:143807788-143809310,S_Shore
cg16283077,0.094075405,1.159692672,0.178893388,3.794082231,0.000199064,0.907429665,1,chr11,129306730,+,BARX2,NM_003658,Body,,,,,,,,,,chr11:129306659-129306882,Island
cg04140525,0.049146566,0.860862198,0.129843474,3.787310787,0.000203903,0.907429665,1,chr1,153467760,+,,,,,,TRUE,,1:153466509-153468400,Unclassified,TRUE,,,,OpenSea
cg02562282,0.249486626,1.209280824,0.297429647,3.783172697,0.000207083,0.907429665,1,chr5,107569937,-,FBXL17,NM_001163315,Body,,,TRUE,,,,,,,,OpenSea
cg23387109,0.025147763,1.375097464,0.094395748,3.781578725,0.00020832,0.907429665,1,chr10,94051229,-,MARCH5;MARCH5;CPEB3,NM_017824;NM_017824;NM_014912,5'UTR;1stExon;TSS1500,,,,10:94039957-94041610,10:94051163-94051337,Promoter_Associated,,,,chr10:94050423-94051412,Island
cg25767832,0.04373607,1.181959154,0.125240452,3.773301126,0.000214858,0.907429665,1,chr6,158210955,-,,,,,,,6:158130943-158131025,,,,,,,OpenSea
cg22599514,0.081605383,0.992443884,0.166625703,3.768621743,0.000218639,0.907429665,1,chr15,63798201,+,USP3,NM_006537,Body,,RDMR,,,15:63797798-63798216,Promoter_Associated,,rs11637511,,chr15:63796129-63797638,S_Shore
cg18949315,0.041101384,-0.754447712,-0.120021326,-3.766847866,0.000220089,0.907429665,1,chr20,57418015,-,GNASAS;GNAS,NR_002785;NM_016592,Body;3'UTR,,CDMR,TRUE,,,,,,,chr20:57415135-57417153,S_Shore
cg16424196,0.092933404,1.241774297,0.18003633,3.762383126,0.00022528,0.907429665,1,chr8,53452398,+,FAM150A,NM_207413,Body,,,TRUE,,,,,,,,OpenSea
cg22063259,0.052820994,-1.310676903,-0.1271181,-3.759059608,0.000228628,0.907429665,1,chr15,74428820,+,ISLR2;ISLR2;ISLR2;ISLR2,NM_020851;NM_001130136;NM_001130138;NM_001130137,3'UTR;3'UTR;3'UTR;3'UTR,,,,15:72215365-72216205,15:74428427-74429100,Unclassified_Cell_type_specific,,,,chr15:74425091-74428821,Island
cg03352153,0.129105398,1.211915647,0.20239124,3.756014604,0.000229142,0.907429665,1,chr6,64030429,-,LGSN;LGSN,NM_001143940;NM_016571,TSS1500;TSS1500,,,,,,,,,,,OpenSea
cg27598583,0.031909212,-1.239466523,-0.105305823,-3.752759512,0.000231931,0.907429665,1,chr16,86337662,+,,,,,,,16:84894919-84895526,,,,,,chr16:86337641-86337894,Island
cg23053918,0.282064486,1.090106949,0.313653267,3.752091208,0.000232507,0.907429665,1,chr11,61100525,+,DDB1;DDB1;DAK,NM_001923;NM_001923;NM_015533,1stExon;5'UTR;TSS200,high-CpG:60857053-60857249,,,11:60856703-60857714,11:61099363-61101347,Unclassified,,,,chr11:61100073-61100972,Island
cg18454701,0.185372276,1.453122152,0.25259832,3.749002435,0.000236936,0.907429665,1,chr2,46844136,+,PIGF;PIGF;PIGF;CRIPT;PIGF,NM_173074;NM_002643;NM_002643;NM_014171;NM_173074,1stExon;1stExon;5'UTR;TSS200;5'UTR,,,,2:46696861-46697965,2:46843046-46844760,Promoter_Associated,,,,chr2:46843650-46844332,Island
cg01444726,0.22629678,-1.67609115,-0.278112942,-3.746304301,0.000237556,0.907429665,1,chr15,34637567,+,C15orf55,NM_175741,TSS1500,,,,,,,,,,,OpenSea
cg22991379,0.151983471,1.45313114,0.220117728,3.745934502,0.000241645,0.907429665,1,chr10,73491943,+,C10orf105;CDH23,NM_001168390;NM_022124,5'UTR;Body,,,,10:73161903-73161989,,,,,,,OpenSea
cg06421104,0.017367576,1.249594288,0.080262078,3.739989066,0.000243183,0.907429665,1,chr22,50903050,-,SBF1,NM_002972,Body,,,,22:49249656-49250588,,,,,,chr22:50903049-50903352,Island
cg22757384,0.10258567,1.362312079,0.188400934,3.742967221,0.000243933,0.907429665,1,chr3,183353803,-,KLHL24,NM_017644,5'UTR,,,,3:184835929-184837510,,,,,,chr3:183353234-183354816,Island
cg07067904,0.205874458,-1.092111373,-0.265460995,-3.738350996,0.000244663,0.907429665,1,chr2,74425934,+,MTHFD2;MTHFD2,NR_027405;NM_006636,Body;Body,,,,2:74278960-74279931,2:74425084-74426904,Promoter_Associated,,rs13001449,,chr2:74425444-74426423,Island
cg27180974,0.044359906,-1.196142888,-0.120036833,-3.738255918,0.00024475,0.907429665,1,chr6,4932189,+,CDYL;CDYL;CDYL;CDYL,NM_004824;NR_026590;NM_001143971;NM_001143970,Body;Body;Body;Body,,,TRUE,,,,,,,,OpenSea
cg21297282,0.532860994,-1.077739802,-0.430926261,-3.733736678,0.000248879,0.907429665,1,chr1,77525228,-,ST6GALNAC5,NM_030965,Body,,,TRUE,,,,,,,,OpenSea
cg12298872,0.151509541,-0.734449916,-0.218746612,-3.731837779,0.000250634,0.907429665,1,chr1,228352449,+,C1orf69,NM_001010867,TSS1500,,,,,,,,,rs74142614,chr1:228353108-228353986,N_Shore
cg07391756,0.124191418,0.962382825,0.204453682,3.73133369,0.000251101,0.907429665,1,chr12,132568647,-,EP400NL,NR_003290,TSS200,,,,12:131134488-131135695,12:132568199-132570068,Promoter_Associated,,,,chr12:132568607-132569715,Island
cg19986202,0.355718339,-1.243264375,-0.348848274,-3.730414774,0.000254198,0.907429665,1,chr3,169379554,-,MECOM,NM_004991,Body,,,,3:170861960-170863745,3:169378782-169379878,Unclassified,,,,chr3:169379437-169381056,Island
cg07746699,0.158729981,-1.520916693,-0.229666971,-3.723676979,0.000258308,0.907429665,1,chr16,1662305,-,IFT140,NM_014714,TSS200,,,,16:1601905-1603218,16:1661909-1662536,Promoter_Associated,,,,chr16:1660054-1665095,Island
cg00954878,0.129198458,-1.419560319,-0.210447907,-3.722435742,0.000259495,0.907429665,1,chr2,19553950,+,OSR1,NM_145260,5'UTR,,,,,,,,rs62125315,,chr2:19555789-19558403,N_Shore
cg06498520,0.224109543,1.272068301,0.277138716,3.720359786,0.000261491,0.907429665,1,chr4,186990006,-,TLR3,NM_003265,TSS1500,,,TRUE,,4:186989787-186990646,Promoter_Associated,,,,,OpenSea
cg07931411,0.391209857,1.286168842,0.36659538,3.719867095,0.000261967,0.907429665,1,chr19,15580721,+,PGLYRP2,NM_052890,Body,,,,19:15441400-15441863,19:15580341-15581038,Unclassified_Cell_type_specific,,,,chr19:15580382-15580863,Island
cg27256515,0.083401372,1.078118218,0.169836628,3.718684552,0.000263112,0.907429665,1,chr16,1143566,-,C1QTNF8,NM_207419,Body,,,,16:1082028-1084088,,,,,,chr16:1142315-1144087,Island
cg18931850,0.084726497,1.301924104,0.167530537,3.717592543,0.000264174,0.907429665,1,chr15,62541062,+,,,,,,,,,,,,,,OpenSea
cg19197523,0.168333555,-1.616980422,-0.239389555,-3.709324109,0.000272348,0.907429665,1,chr8,124428674,+,WDYHV1,NM_018024,TSS1500,,,,8:124497550-124498606,8:124428153-124429873,Promoter_Associated,,,,chr8:124428605-124429425,Island
cg18631330,0.170041301,1.214119761,0.240509586,3.709089515,0.000272583,0.907429665,1,chr17,79899941,+,MYADML2,NM_001145113,5'UTR,,,,,,,,,,chr17:79899019-79899491,S_Shore
cg16706905,0.09855161,1.222887558,0.18342756,3.706357821,0.000275338,0.907429665,1,chr7,2650027,+,IQCE;IQCE,NM_152558;NM_001100390,3'UTR;3'UTR,,,,7:2616446-2616686,,,,rs55958164,,,OpenSea
cg12062782,0.414334466,1.132274913,0.359496655,3.703835201,0.000277905,0.907429665,1,chr11,66102686,+,RIN1,NM_004292,Body,,,,11:65858574-65859329,,,,,,chr11:66102024-66102279,S_Shore
cg02682052,0.0357397,1.071378486,0.109480962,3.697914419,0.00028402,0.907429665,1,chr19,3468058,-,,,,,,,,,,,,,chr19:3464764-3464992,S_Shelf
cg15617023,0.20068547,1.03074611,0.265670136,3.696588363,0.000285406,0.907429665,1,chr13,40113248,-,LHFP,NM_005780,Body,,,TRUE,,,,,,,,OpenSea
cg07291317,0.100001931,1.114339688,0.185710176,3.695493776,0.000286556,0.907429665,1,chr5,16701194,+,MYO10,NM_012334,Body,,,,5:16754081-16754800,,,,rs154260,,chr5:16701071-16701775,Island
cg22439651,0.220820352,1.470841425,0.266570531,3.692679196,0.000290626,0.907429665,1,chr5,40933444,-,C7,NM_000587,Body,,,TRUE,,,,,,,,OpenSea
cg15684394,0.058543007,1.421470039,0.138345219,3.691281324,0.00029102,0.907429665,1,chr8,146047273,+,,,,,,,,,,,,,,OpenSea
cg04384689,0.079291105,1.222178539,0.161967427,3.69072589,0.000291614,0.907429665,1,chr6,44039689,-,,,,,RDMR,,,,,TRUE,,,chr6:44041014-44041468,N_Shore
cg16430332,0.033459874,-0.915355564,-0.107343371,-3.682867991,0.000300135,0.907429665,1,chr2,61389173,+,C2orf74;C2orf74,NM_001143959;NM_001143960,TSS1500;5'UTR,,,,,,,,,,,OpenSea
